sample_id,phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
t15.2023.08.13_b8_t0,Y UW  |  K AE N  |  S IY  |  DH AH  |  K OW L D  |  AE T  |  DH IH S  |  P OY N T  |  AE Z  |  W IH L  | ,You can see the cold at this point as well.,You can see the code at this point as well.,1192.48,118,14
t15.2023.08.13_b8_t1,HH AW  |  D AH Z  |  IH T  |  K IY P  |  DH AH  |  K AA S T  |  T EH N  | ,How does it keep the cost ten?,How does it keep the cost down?,1008.34,100,11
t15.2023.08.13_b8_t2,N AA T  |  T UW  |  K AH N T R AH F IY SH AH L  | ,Not to counterfactual,Not too controversial.,773.01,85,8
t15.2023.08.13_b8_t3,DH AH  |  JH UH R IY  |  AH N D  |  AH  |  JH AH S T  |  W ER K  |  T AH G EH DH ER  |  AA N  |  IH T  | ,The jury and I just work together on it.,The jury and a judge work together on it.,836.34,116,13
t15.2023.08.13_b8_t4,W ER  |  K W AY T  |  F ER K AH L  |  AH B AW T  |  IH T  | ,We're quite fercal about it.,Were quite vocal about it.,932.86,91,11
t15.2023.08.13_b8_t5,HH IY  |  S EH D  |  DH AH  |  D IH S IH ZH AH N  |  T UW  |  P AA R T  |  W EY Z  |  W AA Z  |  M Y UW CH UW W AH L  | ,He said the decision to part ways was mutual.,He said the decision to part ways was mutual.,1001.05,122,13
t15.2023.08.13_b8_t6,IH N  |  F AE K T  |  DH IH S  |  M AO R N IH NG  |  W EH N  |  DH EY  |  W ER  |  T AO K IH NG  | ,In fact this morning when they were talking,In fact this morning when they were talking.,850.45,110,11
t15.2023.08.13_b8_t7,DH IH S  |  IH Z  |  L AY K  |  AH  |  K ER R AH N T IY  |  JH AH K  | ,This is like a currenty jug,This is like a cruelty joke.,916.81,98,10
t15.2023.08.13_b8_t8,HH AE Z  |  S AH CH  |  AH  |  HH AY  |  K L IY  |  K AH N T IY D  | ,Has such a high clique continued,Has such a high clay content.,889.13,97,9
t15.2023.08.13_b8_t9,W AH T  |  W ER K IH NG  |  M EH S T ER IY  | ,What working mystery,Woodworking mastery.,868.7,83,6
t15.2023.08.13_b8_t10,W EY T  |  AH  |  M IH N AH T  |  W IY  |  N OW  |  DH IH S  |  TH IH NG  |  IH Z AH N T  | ,Wait a minute we know this thing isn't,Wait a minute we know this thing isn't.,1189.17,108,11
t15.2023.08.13_b8_t11,AH P  |  IH N  |  N UW  |  IH NG G L AH N D  |  W EH R  |  AY M  |  F R AH M  | ,Up in New England where I’m from,Up in New England where I'm from.,1278.08,102,11
t15.2023.08.13_b8_t12,W AH N  |  TH IH NG  |  AO R  |  DH AH  |  AH DH ER  | ,One thing or the other,One thing or the other.,955.84,87,8
t15.2023.08.13_b8_t13,HH IY Z  |  W AH N  |  AH V  |  DH AH  |  B IH G  |  P R AH P OW N AH S  |  AH V  |  DH AE T  | ,He’s one of the big proponents of that.,He's one of the big proponents of that.,855.19,110,13
t15.2023.08.13_b8_t14,AY  |  HH AE V  |  N AA T  |  G AO D  |  B AE K  |  L EY T L IY  | ,I have not got back lately.,I have not gone back lately.,831.91,96,10
t15.2023.08.13_b8_t15,T UW  |  B IY  |  IH T S  |  AH  |  T R EH ZH ER  | ,To be it's a treasure,"To me, it's a treasure.",859.16,89,8
t15.2023.08.13_b8_t16,HH IY  |  IH Z  |  AO L S OW  |  AH  |  M EY M B ER  |  AH V  |  DH AH  |  Y AO R  |  AW AH Z  |  AH G EH N AH M  | ,He is also a member of the your hours agenum,He is also a member of the Royal Irish Academy.,964.19,120,14
t15.2023.08.13_b8_t17,AY  |  G EH S  |  AY  |  L AY K  |  T UW  |  T EY K  |  K EH R  |  AH V  |  IH T  | ,I guess I like to take care of it,I guess I like to take care of it.,946.95,106,12
t15.2023.08.13_b8_t18,P UH T  |  DH AE T  |  B AE K  |  IH N  |  DH AH  |  S AH B S T AE N  | ,Put that back in the substance.,Put that back in the saucepan.,1742.51,97,10
t15.2023.08.13_b8_t19,HH IY  |  D AH Z  |  DH AH  |  Y AA R D  | ,He does the yard,He does the yard.,920.26,83,7
t15.2023.08.13_b9_t0,Y UW  |  JH AH S T  |  R IH L IY  |  K AE N T  |  T EH L  |  W AH T S  |  G OW IH NG  |  T UW  |  HH AE P AH N,You just really can't tell what's going to happen,You just really can't tell what's going to happen.,1061.19,117,12
t15.2023.08.13_b9_t1,AH N D  |  HH OW  |  IH Z  |  IH N  |  CH AA R JH  |  AH V  |  M EY K IH NG  |  DH AE T  |  D IH S IH ZH AH N  | ,And how is in charge of making that decision,And who is in charge of making that decision?,1097.43,118,12
t15.2023.08.13_b9_t2,N AA T  |  F AO R  |  DH AH  |  JH AA B  |  AY  |  HH AE V  |  N AW  | ,Not for the job I have now.,Not for the job I have now.,937.32,98,11
t15.2023.08.13_b9_t3,IH T S  |  R IH L IY  |  N AA T  |  T UW  |  D EH F AH K AH L,It’s really not too difficult,It's really not too difficult.,939.88,91,9
t15.2023.08.13_b9_t4,K L IH ZH AH N Z  |  SH UH D  |  N EH V ER  |  HH AE P AH N  | ,Collisions should never happen,Collisions should never happen.,908.43,91,8
t15.2023.08.13_b9_t5,AY M  |  T R AY IH NG  |  T UW  |  TH IH NG  | ,I'm trying to do a thing.,I'm trying to think.,954.94,83,10
t15.2023.08.13_b9_t6,EH M P L OY R IY  |  K AH N T R UH R IY  | ,employee contrary,Employee controller.,791.48,83,5
t15.2023.08.13_b9_t7,B AE K AH N  |  AH N D  |  AO L  |  DH AE T  |  G UH D  |  S T AH F  | ,Bacon and all that good stuff,Bacon and all that good stuff.,994.24,97,10
t15.2023.08.13_b9_t8,IH F  |  Y UW  |  L UH K  |  B AE K  | ,If you look back,If you look back.,745.68,81,7
t15.2023.08.13_b9_t9,AH N D  |  IH T  |  AO L S OW  |  HH AW S  |  W EH N  |  DH EY  |  W ER  |  R EH D IH NG  | ,And it also house when they were reading,And it also helps when they were winning.,922.55,107,11
