idx,n_candidates,prediction,ground_truth,time_ms,tokens_in,tokens_out
0,5,You can see the code at this point as well.,You can see the code at this point as well.,7134.21,468,11
1,5,How does it keep the cost down?,How does it keep the cost down?,35284.68,379,8
2,5,Not too controversial.,Not too controversial.,13232.14,301,4
3,5,The jury and the judge work together on it.,The jury and a judge work together on it.,1388.79,456,10
4,5,We're quite vocal about it.,Were quite vocal about it.,31862.49,336,6
5,5,He said the decision to part ways was mutual.,He said the decision to part ways was mutual.,1504.26,494,10
6,5,"In fact, this morning when they were talking.",In fact this morning when they were talking.,1084.24,431,10
7,5,This is like a crunchy joke.,This is like a cruelty joke.,17708.62,368,7
8,5,Has such a high click count.,Has such a high clay content.,24895.14,360,7
9,5,What working mastery.,Woodworking mastery.,1534.13,299,4
10,5,"Wait a minute, we know this thing isn't.",Wait a minute we know this thing isn't.,11987.95,419,10
11,5,Up in New England where I'm from.,Up in New England where I'm from.,1147.37,389,8
12,5,One thing or the other.,One thing or the other.,870.02,317,6
13,5,He's one of the big proponents of that.,He's one of the big proponents of that.,801.76,433,9
14,5,I have not gone back lately.,I have not gone back lately.,724.67,359,7
15,5,To me it's a treasure.,"To me, it's a treasure.",1360.98,330,6
16,5,He is also a member of the Royal Academy.,He is also a member of the Royal Irish Academy.,800.59,477,10
17,5,I guess I like to take care of it.,I guess I like to take care of it.,938.74,414,10
18,5,Put that back in the substan.,Put that back in the saucepan.,913.12,360,8
19,5,He does the yard.,He does the yard.,827.67,294,5
20,5,You just really can't tell what's going to happen.,You just really can't tell what's going to happen.,825.22,468,10
21,5,And who is in charge of making that decision?,And who is in charge of making that decision?,804.64,462,10
22,5,Not for the job I have now.,Not for the job I have now.,1069.22,373,8
23,5,It's really not too difficult.,It's really not too difficult.,14042.31,335,6
24,5,Closures should never happen.,Collisions should never happen.,737.36,328,6
25,5,I'm trying to think.,I'm trying to think.,849.01,294,5
26,5,Employee contrary.,Employee controller.,647.3,290,3
27,5,Bacon and all that good stuff.,Bacon and all that good stuff.,836.9,369,8
28,5,If you look back.,If you look back.,8059.33,288,5
29,5,And it also helps when they were reading.,And it also helps when they were winning.,809.19,418,9
30,5,She came last June and worked a grave in the same town.,She came last June and watched a game in the sky dome.,893.72,515,13
31,5,"For me, I had no choice but to move.","For me, I had no choice but to move.",858.6,429,11
32,5,Then its twice as hard.,Then it's twice as hard.,608.81,320,6
33,5,I can't really complain.,I can't really complain.,681.9,321,5
34,5,When I do recipes I just throw stuff in.,When I do recipes I just throw stuff in.,781.4,456,10
35,5,They originally released him.,They recently released him.,702.69,332,5
36,5,One year public service for everybody.,One year public service for everybody.,784.46,409,7
37,5,It's an eighty-seven degree day.,It's an eighty seven degree day.,817.69,371,7
38,5,I don't know if they do it all over.,I don't know if they do it all over.,1054.93,409,10
39,5,Employing benefits.,Employee Benefits.,670.41,284,4
40,5,How long are we supposed to talk for?,How long are we supposed to talk for?,801.08,419,9
41,5,You start to take pleasure in it.,You start to take pleasure in it.,716.62,391,8
42,5,They had us fill out a loan questionnaire.,They had us fill out a long questionnaire.,749.99,424,9
43,5,We've had our way of life.,We've had our way of life.,699.07,346,7
44,5,His side of the family.,His side of the family.,753.34,333,6
45,5,Good to hear from you.,Good to hear from you.,6367.97,330,6
46,5,I don't know where the answer is.,I don't know where the answer is.,713.33,372,8
47,5,Where did you get the car?,Where'd you get the car?,676.78,318,7
48,5,And you pet around it.,And you paint around it.,732.42,321,6
49,5,Crime is too much.,Crime is too much.,728.47,295,5
50,5,House robberies.,House robberies.,797.68,259,4
51,5,The Grand Canyon.,The Grand Canyon.,630.47,279,4
52,5,The experience.,The experience.,703.17,270,3
53,5,He said it's been saying one more.,He said he's been saying one more.,728.02,389,8
54,5,I can't really think of anything else offhand.,I can't really think of anything else offhand.,893.27,445,10
55,5,I couldn't even think of what you call them.,I couldn't even think of what you call them.,808.89,459,10
56,5,I grew up water skiing.,I grew up water skiing.,767.45,329,6
57,5,They waited a couple years.,They waited a couple years.,626.43,336,6
58,5,I have a cold one.,I have a gold one.,797.81,311,6
59,5,There's not a whole lot.,There's not a whole lot.,655.66,320,6
60,5,There was no word on casualties.,There was no word on casualties.,919.23,386,7
61,5,It kind of calmed down.,It kind of wound down.,755.85,326,7
62,5,But my boss won't pay for it.,But my boss wouldn't pay for it.,790.93,384,8
63,5,My mother was complaining last year about that.,My mother was complaining last year about that.,865.59,456,9
64,5,Very scary to see what they found out.,Very scary to see what they found out.,837.26,430,9
65,5,Not too much soy sauce.,Not too much soy sauce.,686.48,322,6
66,5,He put up all of his pastries.,He put up all of his ash trays.,798.15,401,8
67,5,He didn't just say.,He didn't just say.,830.06,313,5
68,5,If there was a credible punishment.,If there was a credible punishment.,726.01,399,7
69,5,In the previous version.,In the previous version.,602.62,326,5
70,5,Was it third of December?,Was it third of December?,936.07,334,6
71,5,Envision of formal.,Invasion of Burma.,626.27,294,5
72,5,I guess we don't really use that many ten cats.,I guess we don't really use that many tin cans.,955.26,492,11
73,5,"We're all sat down together, family.",We're a sit down together family.,821.82,389,8
74,5,I'm originally from Maine.,I'm originally from Maine.,685.95,327,5
75,5,He had a heart attack.,He had a hot pad.,687.16,314,6
76,5,Sometimes they're not very open.,Sometimes they're not very open.,634.94,360,6
77,5,Right now I'm getting about sixty bucks a month.,Right now I'm getting about sixty bucks a month.,787.67,464,10
78,5,That kind of case matches.,That kind of gas mileage.,826.74,337,6
79,5,He won't do that yet.,He won't do that yet.,816.67,324,6
80,5,I mean it's dying now.,I mean it's dying now.,824.24,324,6
81,5,It was written many years ago.,It was written many years ago.,777.92,381,7
82,5,Do you go by the ads when you look at them?,Do you go by the ads when you look at them?,975.45,474,12
83,5,Do you get cable?,Do you get cable?,697.79,297,5
84,5,And these gets back to capital punishment.,And this gets back to capital punishment.,813.77,438,8
85,5,Here are some key points from the briefing.,Here are some key points from the briefing.,825.84,447,9
86,5,Not even since a week.,Ninety seven cents a week.,749.08,345,6
87,5,We started taking her.,We started taking her.,723.93,325,5
88,5,So thank you for not using the exploit.,So thank you for not using the exploit.,880.25,441,9
89,5,Their accomplishments are a little bit weak.,Their economy's a little bit weak.,759.03,398,8
90,5,Employees will not get any severance pay.,Employees will not get any severance pay.,17040.06,442,9
91,5,I really feel bad for the people I see there.,I really feel bad for the people I see there.,1037.35,481,11
92,5,Even in my case.,Even in my case.,959.75,292,5
93,5,According to the judicial system.,According to the judicial system.,716.08,381,6
94,5,Afford the payments on a used car.,Afford the payments on a used car.,785.35,395,9
95,5,Couple of hundred kids in the band.,Couple of hundred kids in the band.,728.91,402,9
96,5,I found that really helps.,I found that really helps.,803.69,341,6
97,5,That sort of stuff.,That sort of stuff.,614.55,305,5
98,5,We went to Colorado Springs.,We went to Colorado Springs.,790.24,361,6
99,5,"No, it doesn't bother me at all.",Now it doesn't bother me at all.,744.72,388,9
100,5,Don't have enough money.,Don't have enough money.,817.77,322,5
101,5,But I haven't told my husband.,But I haven't told my husband.,689.66,380,7
102,5,I have some neighbors across the field.,I have some neighbors across the field.,745.68,400,8
103,5,Have some part of the law.,Have some part of the law.,716.53,349,7
104,5,Once the children were grown.,Once the children were grown.,643.43,344,6
105,5,Special to the Detroit Free Press.,Special to the Detroit Free Press.,785.43,393,7
106,5,I'm doing all right.,I'm doing all right.,719.37,294,5
107,5,I guess it's close enough.,I guess it's close enough.,55445.29,327,6
108,5,A good appearance to do a good job there you work.,A good appearance to do a good job where you work.,875.36,498,12
109,5,People don't make more money.,People donate more money.,691.73,336,6
110,5,People put them in.,People put them in.,836.33,304,5
111,5,Every time I do something.,Every time I do something.,952.72,330,6
112,5,Is there a basis for it?,Is there a basis for it?,708.36,349,7
113,5,I think because it costs less.,I think because it costs less.,905.14,359,7
114,5,It's a heavy eight.,It's a eighty eight.,690.36,285,5
115,5,Things are free enough.,Things are free enough.,741.03,308,5
116,5,At the time you hired on with this company.,At the time you hired on with this company.,2157.58,456,10
117,5,For the things that we want.,For the things that we want.,694.04,357,7
118,5,"Trimming season is upon you, boys.",Streaming season is opening boys!,822.35,369,9
119,5,It's already done for you.,It's already done for you.,651.08,343,6
120,5,He had been in that position for years.,He had been in that position for years.,802.85,434,9
121,5,"Outside the building, it's not bad.",Outside the building it's not bad.,718.35,376,8
122,5,"The victims, families and things.",The victims' families and things.,839.32,367,7
123,5,I don't want to do anything.,I don't want to do anything.,709.49,367,7
124,5,"You know, I don't know.",You know I don't know.,728.72,309,7
125,5,It's difficult to really say why.,It's difficult to really say why.,984.33,380,7
126,5,There was a voice in her head.,There was a voice in her head.,817.63,371,8
127,5,Lawmakers passed a measure last year.,Lawmakers passed a measure last year.,720.92,385,8
128,5,I'd be furious.,I'd be curious.,642.48,279,4
129,5,We ended up watching it for a couple of hours.,We ended up watching it for a couple of hours.,921.07,463,11
130,5,You live in Karl.,You live in Garland.,724.84,271,5
131,5,Anything on that.,Anything on that.,675.78,272,4
132,5,He's never gone away.,He's never gone away.,818.78,301,5
133,5,What will be a luxury in the future?,What will be a luxury in the future?,737.02,411,9
134,5,I was really working with the middle class.,I was really working with the middle class.,934.76,412,9
135,5,You have to get everything replaced.,You have to get everything replaced.,683.82,393,7
136,5,There would be no way to do it.,There would be no way to do it.,899.52,397,9
137,5,What is it called?,What is it called?,687.76,282,5
138,5,They do take up a lot of your time.,They do take up a lot of your time.,869.35,416,10
139,5,I'm still going.,I'm still going.,610.65,266,4
140,5,What would you find if you just kept on going?,What would you find if you just kept on going?,920.44,475,11
141,5,Helps them understand the world.,Helps them understand the world.,678.33,348,7
142,5,I do study what's going on in the economy.,I do study what's going on in the economy.,1266.54,466,10
143,5,I like that they run tests.,I like that they run tense.,818.6,335,7
144,5,Just like how you said my father way.,Just like how you said my father was.,819.79,395,9
145,5,You're going to get it.,You're going to get it.,714.04,300,6
146,5,Guided by verses.,Guided by voices.,924.42,281,5
147,5,When was the last time we measured you?,When was the last time we measured you?,716.74,424,9
148,5,I wouldn't want him to win Best Actor on top of it.,I wanted him to win best actor on top of it.,803.83,491,13
149,5,I heard this on a French program.,I heard this on a Christian program.,830.39,401,8
150,5,The property title.,The Bermuda Triangle.,613.94,281,4
151,5,He's ten years old.,He's nine months old.,820.89,297,5
152,5,It is like a country.,It is like a country.,716.26,317,6
153,5,A male profession.,A male profession.,817.4,260,4
154,5,The lettuce grew inside.,The islanders sleep inside.,1111.59,310,5
155,5,They are the Detroit Tigers.,They are the Detroit delegates.,766.89,327,6
156,5,They have coupons.,They have coupons.,782.67,257,4
157,5,I get milk at the can.,I can't believe they can.,920.8,278,7
158,5,You just have to keep buying them.,You just have to keep buying them.,705.15,380,8
159,5,In a new house everything is hot.,In a new house everything is white.,680.35,371,8
160,5,Easiest way out maybe.,Easiest way out maybe.,820.26,302,7
161,5,That will have some other problems.,That will help solve our problems.,761.53,356,7
162,5,What kind of things do you think can be done?,What kind of things do you think can be done.,727.13,468,11
163,5,I try to make sure.,I try to make sure.,808.0,310,6
164,5,There are also these various disclosures.,There are also these various disclosures.,717.2,385,7
165,5,Enjoy the holidays.,Enjoy the Holidays.,571.33,286,4
166,5,No easy choice.,No easy choices.,759.63,270,4
167,5,Drunk drivers kill people.,Drunk drivers kill people.,666.44,335,6
168,5,"On probation or parole and killed someone, eh.",On probation or parole and killed someone else.,890.76,431,10
169,5,This brings me to the next point.,This brings me to the next point.,911.78,400,8
170,5,I don't think they're in a conspiracy.,I don't think they're in a conspiracy.,803.7,386,8
171,5,A million dollars a year.,A million dollars a year.,821.71,307,6
172,5,"Dress, traps, budget is just a propeller at this point.",Trump's budget is just a proposal at this point.,971.68,516,14
173,5,We've had one as long as I can remember.,We've had one as long as I can remember.,886.21,436,10
174,5,"However, there is one key point to keep in mind.","However, there is one key point to keep in mind.",779.3,480,12
175,5,It's working up to a year now.,It's working up to a year now.,1278.27,374,8
176,5,A house full of snow.,A house full of snow.,1096.24,312,6
177,5,All those European countries.,All those European countries.,714.24,348,5
178,5,All of those things that one does with kids.,All of those things that one does with kids.,820.19,448,10
179,5,That aren't getting taught at home.,That aren't getting taught at home.,819.1,364,7
180,5,That's what they said.,That's what they said.,764.95,298,5
181,5,That's year of eighty one.,Tax year of eighty one.,666.47,325,6
182,5,That's a big concern if you live there.,That's a big concern if you live there.,800.72,417,9
183,5,So the doctor elected to have her.,So the doctor elected to have her.,726.69,396,8
184,5,Did they mail that to you?,Did they mail that to you?,827.85,344,7
185,5,Team would like to take on other chores.,Tim would like to take on other genres.,899.47,422,9
186,5,Can't give up on it.,Can't give up on it.,838.52,321,6
187,5,Through the newspaper reviews.,Through the newspaper reviews.,614.94,323,5
188,5,We should see to our own life.,We should see to our own lives.,1041.29,367,8
189,5,What have you seen?,What have you seen?,901.89,298,5
190,5,What do you like to do this time of year?,What do you like to do this time of year.,788.97,453,11
191,5,She didn't announce that to you.,She didn't announce that to you.,818.85,374,7
192,5,I never even knew that.,I never even knew that.,731.26,330,6
193,5,There was one other person besides myself.,There was one other person besides myself.,746.77,416,8
194,5,You don't have to hide it either.,You don't have to hide it either.,750.83,384,8
195,5,"No, you can't get all of us.",You can't get all of us.,750.87,365,9
196,5,I think the newsman.,I think the newsmen.,700.16,303,6
197,5,That's understandable.,That's understandable.,618.43,282,3
198,5,We see them at least once a week.,We see them at least once a week.,772.55,418,9
199,5,That was a shocker to me.,That was a shocker to me.,794.17,346,8
200,5,"It came out, I guess, about a month.",It came out I guess about a month.,1122.99,400,11
201,5,I saw all seven games of that.,I saw all seven games of that.,718.35,379,8
202,5,The decision was not even close.,The decision was not even close.,716.26,391,7
203,5,We always seem to.,We always seem to.,745.29,307,5
204,5,The house payment.,The house payment.,787.82,275,4
205,5,Tactical decision.,Tactical decision.,817.84,281,4
206,5,That's what's happening here.,That's what's happening here.,663.47,331,5
207,5,They have a lot of cattle in the area.,They have a lot of cattle in the area.,803.06,432,10
208,5,That's one of the biggest ones I've seen.,That's one of the biggest ones I've seen.,884.65,431,9
209,5,My name is Pat Johnson and I live in Texas.,My name is Pat Johnson and I live in Texas.,714.8,477,11
210,5,They can if they want to.,They can if they want to.,836.22,341,7
211,5,A liberal arts school.,A liberal arts school.,696.7,330,5
212,5,In the Houston area.,In the Houston area.,827.54,312,5
213,5,What kind of puppy you got?,What kind of puppy you got?,920.66,361,7
214,5,Got into it when I was young.,Got into it when I was young.,818.06,377,8
215,5,It's depressing too.,It's depressing too.,716.28,288,4
216,5,They live with us.,They live with us.,720.53,288,5
217,5,He's just goofing off like he always has.,He's just goofing off like he always has.,1325.48,447,11
218,5,It's nothing like what it used to be.,It's nothing like what it used to be.,689.26,419,9
219,5,We try to do one thing once a year.,We try to do one thing once a year.,857.56,432,10
220,5,You can come and go as you please.,You can come and go as you please.,703.38,402,9
221,5,You just called him direct.,You just call him direct.,719.21,343,6
222,5,You can have a variety.,You can have a variety.,673.18,332,6
223,5,You have to fly through.,You have to fly through.,863.47,316,6
224,5,Just the regular channel.,Just the regular channel.,815.52,312,5
225,5,He plays pretty regularly.,He plays pretty regularly.,819.47,346,5
226,5,You don't feel super cold.,You don't feel super cold.,602.15,336,6
227,5,What are the problems with public education?,What are the problems with public education?,833.06,450,8
228,5,Who will know point in plainly on the past.,"Oh well, no point in dwelling on the past.",816.43,446,10
229,5,You have to pay the interest.,You have to pay the interest.,898.55,366,7
230,5,I'm old fashioned.,I'm old fashioned.,736.96,277,4
231,5,It's just a matter of passing the law.,It's just a matter of passing the law.,919.94,413,9
232,5,You already departed.,Zoology department.,719.48,287,4
233,5,Not that she will remember them.,Not that she will remember them.,793.87,378,7
234,5,It didn't matter.,It didn't matter.,741.4,275,4
235,5,That's still not enough for a total.,That's still not enough for a total.,919.82,398,8
236,5,I'm not saying that they were.,I'm not saying that they were.,780.24,353,7
237,5,Pay an exact amount and you know.,Pay and exhaustion and you know.,858.64,361,8
238,5,All my aunts and uncles.,All my aunts and uncles.,693.32,312,8
