phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
Y UW  |  K AE N  |  S IY  |  DH AH  |  K OW L D  |  AE T  |  DH IH S  |  P OY N T  |  AE Z  |  W IH L  | ,You can see the cold at this point as well.,You can see the code at this point as well.,46136.4,119,11
HH AW  |  D AH Z  |  IH T  |  K IY P  |  DH AH  |  K AA S T  |  T EH N  | ,How does it keep the cost down?,How does it keep the cost down?,7285.54,101,8
N AA T  |  T UW  |  K AH N T R AH F IY SH AH L  | ,Not too controversial.,Not too controversial.,1257.68,86,4
DH AH  |  JH UH R IY  |  AH N D  |  AH  |  JH AH S T  |  W ER K  |  T AH G EH DH ER  |  AA N  |  IH T  | ,The jury and the judge work together on it.,The jury and a judge work together on it.,12369.55,117,10
W ER  |  K W AY T  |  F ER K AH L  |  AH B AW T  |  IH T  | ,We're quite fickle about it.,Were quite vocal about it.,13414.47,92,7
HH IY  |  S EH D  |  DH AH  |  D IH S IH ZH AH N  |  T UW  |  P AA R T  |  W EY Z  |  W AA Z  |  M Y UW CH UW W AH L  | ,He said the decision to part ways was mutual.,He said the decision to part ways was mutual.,834.27,123,10
IH N  |  F AE K T  |  DH IH S  |  M AO R N IH NG  |  W EH N  |  DH EY  |  W ER  |  T AO K IH NG  | ,In fact this morning when they were talking.,In fact this morning when they were talking.,819.63,111,9
DH IH S  |  IH Z  |  L AY K  |  AH  |  K ER R AH N T IY  |  JH AH K  | ,This is like a currency joke.,This is like a cruelty joke.,1841.1,99,7
HH AE Z  |  S AH CH  |  AH  |  HH AY  |  K L IY  |  K AH N T IY D  | ,Has such a high clean content.,Has such a high clay content.,697.38,98,7
W AH T  |  W ER K IH NG  |  M EH S T ER IY  | ,A working mystery.,Woodworking mastery.,13640.02,84,4
W EY T  |  AH  |  M IH N AH T  |  W IY  |  N OW  |  DH IH S  |  TH IH NG  |  IH Z AH N T  | ,"Wait a minute, we know this thing isn't.",Wait a minute we know this thing isn't.,1405.88,109,10
