prediction,ground_truth,wer,errors,ref_words
You can see the code at this point as well.,You can see the code at this point as well.,0.0,0,10
How does it keep the cost down?,How does it keep the cost down?,0.0,0,7
Not too controversial.,Not too controversial.,0.0,0,3
The jury and the judge work together on it.,The jury and a judge work together on it.,0.1111111111111111,1,9
We're quite vocal about it.,Were quite vocal about it.,0.2,1,5
He said the decision to part ways was mutual.,He said the decision to part ways was mutual.,0.0,0,9
"In fact, this morning when they were talking.",In fact this morning when they were talking.,0.0,0,8
This is like a crunchy joke.,This is like a cruelty joke.,0.16666666666666666,1,6
Has such a high click count.,Has such a high clay content.,0.3333333333333333,2,6
What working mastery.,Woodworking mastery.,1.0,2,2
"Wait a minute, we know this thing isn't.",Wait a minute we know this thing isn't.,0.0,0,8
Up in New England where I'm from.,Up in New England where I'm from.,0.0,0,7
One thing or the other.,One thing or the other.,0.0,0,5
He's one of the big proponents of that.,He's one of the big proponents of that.,0.0,0,8
I have not gone back lately.,I have not gone back lately.,0.0,0,6
To me it's a treasure.,"To me, it's a treasure.",0.0,0,5
He is also a member of the Royal Academy.,He is also a member of the Royal Irish Academy.,0.1,1,10
I guess I like to take care of it.,I guess I like to take care of it.,0.0,0,9
Put that back in the substan.,Put that back in the saucepan.,0.16666666666666666,1,6
He does the yard.,He does the yard.,0.0,0,4
You just really can't tell what's going to happen.,You just really can't tell what's going to happen.,0.0,0,9
And who is in charge of making that decision?,And who is in charge of making that decision?,0.0,0,9
Not for the job I have now.,Not for the job I have now.,0.0,0,7
It's really not too difficult.,It's really not too difficult.,0.0,0,5
Closures should never happen.,Collisions should never happen.,0.25,1,4
I'm trying to think.,I'm trying to think.,0.0,0,4
Employee contrary.,Employee controller.,0.5,1,2
Bacon and all that good stuff.,Bacon and all that good stuff.,0.0,0,6
If you look back.,If you look back.,0.0,0,4
And it also helps when they were reading.,And it also helps when they were winning.,0.125,1,8
She came last June and worked a grave in the same town.,She came last June and watched a game in the sky dome.,0.3333333333333333,4,12
"For me, I had no choice but to move.","For me, I had no choice but to move.",0.0,0,9
Then its twice as hard.,Then it's twice as hard.,0.2,1,5
I can't really complain.,I can't really complain.,0.0,0,4
When I do recipes I just throw stuff in.,When I do recipes I just throw stuff in.,0.0,0,9
They originally released him.,They recently released him.,0.25,1,4
One year public service for everybody.,One year public service for everybody.,0.0,0,6
It's an eighty-seven degree day.,It's an eighty seven degree day.,0.3333333333333333,2,6
I don't know if they do it all over.,I don't know if they do it all over.,0.0,0,9
Employing benefits.,Employee Benefits.,0.5,1,2
How long are we supposed to talk for?,How long are we supposed to talk for?,0.0,0,8
You start to take pleasure in it.,You start to take pleasure in it.,0.0,0,7
They had us fill out a loan questionnaire.,They had us fill out a long questionnaire.,0.125,1,8
We've had our way of life.,We've had our way of life.,0.0,0,6
His side of the family.,His side of the family.,0.0,0,5
Good to hear from you.,Good to hear from you.,0.0,0,5
I don't know where the answer is.,I don't know where the answer is.,0.0,0,7
Where did you get the car?,Where'd you get the car?,0.4,2,5
And you pet around it.,And you paint around it.,0.2,1,5
Crime is too much.,Crime is too much.,0.0,0,4
House robberies.,House robberies.,0.0,0,2
The Grand Canyon.,The Grand Canyon.,0.0,0,3
The experience.,The experience.,0.0,0,2
He said it's been saying one more.,He said he's been saying one more.,0.14285714285714285,1,7
I can't really think of anything else offhand.,I can't really think of anything else offhand.,0.0,0,8
I couldn't even think of what you call them.,I couldn't even think of what you call them.,0.0,0,9
I grew up water skiing.,I grew up water skiing.,0.0,0,5
They waited a couple years.,They waited a couple years.,0.0,0,5
I have a cold one.,I have a gold one.,0.2,1,5
There's not a whole lot.,There's not a whole lot.,0.0,0,5
There was no word on casualties.,There was no word on casualties.,0.0,0,6
It kind of calmed down.,It kind of wound down.,0.2,1,5
But my boss won't pay for it.,But my boss wouldn't pay for it.,0.14285714285714285,1,7
My mother was complaining last year about that.,My mother was complaining last year about that.,0.0,0,8
Very scary to see what they found out.,Very scary to see what they found out.,0.0,0,8
Not too much soy sauce.,Not too much soy sauce.,0.0,0,5
He put up all of his pastries.,He put up all of his ash trays.,0.25,2,8
He didn't just say.,He didn't just say.,0.0,0,4
If there was a credible punishment.,If there was a credible punishment.,0.0,0,6
In the previous version.,In the previous version.,0.0,0,4
Was it third of December?,Was it third of December?,0.0,0,5
Envision of formal.,Invasion of Burma.,0.6666666666666666,2,3
I guess we don't really use that many ten cats.,I guess we don't really use that many tin cans.,0.2,2,10
"We're all sat down together, family.",We're a sit down together family.,0.3333333333333333,2,6
I'm originally from Maine.,I'm originally from Maine.,0.0,0,4
He had a heart attack.,He had a hot pad.,0.4,2,5
Sometimes they're not very open.,Sometimes they're not very open.,0.0,0,5
Right now I'm getting about sixty bucks a month.,Right now I'm getting about sixty bucks a month.,0.0,0,9
That kind of case matches.,That kind of gas mileage.,0.4,2,5
He won't do that yet.,He won't do that yet.,0.0,0,5
I mean it's dying now.,I mean it's dying now.,0.0,0,5
It was written many years ago.,It was written many years ago.,0.0,0,6
Do you go by the ads when you look at them?,Do you go by the ads when you look at them?,0.0,0,11
Do you get cable?,Do you get cable?,0.0,0,4
And these gets back to capital punishment.,And this gets back to capital punishment.,0.14285714285714285,1,7
Here are some key points from the briefing.,Here are some key points from the briefing.,0.0,0,8
Not even since a week.,Ninety seven cents a week.,0.6,3,5
We started taking her.,We started taking her.,0.0,0,4
So thank you for not using the exploit.,So thank you for not using the exploit.,0.0,0,8
Their accomplishments are a little bit weak.,Their economy's a little bit weak.,0.3333333333333333,2,6
Employees will not get any severance pay.,Employees will not get any severance pay.,0.0,0,7
